Name_sequence	Genome_length	Virus_name	Complete_segment_name
NC_003278	35580	Pseudomonas virus phiCTX	Pseudomonas virus phiCTX, complete genome
NC_005344	39043	Shigella virus Sf6	Shigella virus Sf6, complete genome
NC_001973	161046	Lymantria dispar multiple nucleopolyhedrovirus	Lymantria dispar multiple nucleopolyhedrovirus, complete genome
NC_001544	11657	Ross River virus	Ross River virus, complete genome
NC_003899	11675	Eastern equine encephalitis virus	Eastern equine encephalitis virus, complete genome
NC_003900	11824	Aura virus	Aura virus, complete genome
NC_007966	2492	Merremia mosaic virus	Merremia mosaic virus, segment DNA B
NC_001916	2784	Infectious pancreatic necrosis virus	Infectious pancreatic necrosis virus, segment B
NC_003908	11484	Western equine encephalitis virus	Western equine encephalitis virus, complete genome
NC_006428	15450	Simian rubulavirus	Simian rubulavirus, complete genome
NC_002649	21129	Bacillus virus GA1	Bacillus virus GA1, complete genome
NC_013447	16614	Helicobasidium mompa alphaendornavirus 1	Helicobasidium mompa alphaendornavirus 1, complete genome
NC_028998	41291	Phormidium phage MIS-PhV1B	Phormidium phage MIS-PhV1B, complete genome
NC_001503	8805	Mouse mammary tumor virus	Mouse mammary tumor virus, complete genome
NC_006144	34246	Simian adenovirus 3	Simian adenovirus 3, complete genome
NC_006560	150715	Cercopithecine alphaherpesvirus 2	Cercopithecine alphaherpesvirus 2, complete genome
NC_029006	35703	Clostridium phage phiCT19406C	Clostridium phage phiCT19406C, complete genome
NC_003536	9584	Clover yellow vein virus	Clover yellow vein virus, complete genome
NC_004065	230278	Murid betaherpesvirus 1	Murid betaherpesvirus 1, complete genome
NC_003376	8405	Garlic virus C	Garlic virus C, complete genome
NC_005338	2761	Dolichos yellow mosaic virus	Dolichos yellow mosaic virus, segment DNA A
NC_015317	2782	Sweet potato leaf curl South Carolina virus	Sweet potato leaf curl South Carolina virus, complete genome
NC_001716	153080	Human betaherpesvirus 7	Human betaherpesvirus 7, complete genome
NC_001511	9256	Ovine lentivirus	Ovine lentivirus, complete genome
NC_001464	371	Citrus exocortis viroid	Citrus exocortis viroid, complete genome
NC_003462	9332	Apple stem pitting virus	Apple stem pitting virus, complete genome
NC_001720	43804	Fowl aviadenovirus A	Fowl aviadenovirus A, complete genome
NC_003613	370	Iresine viroid 1	Iresine viroid 1, complete genome
NC_015328	7723	Sweet potato collusive virus	Sweet potato collusive virus, complete genome
NC_015553	2689	Eragrostis minor streak virus	Eragrostis minor streak virus, complete genome
NC_013097	980	Faba bean necrotic stunt virus	Faba bean necrotic stunt virus, segment DNA M
NC_009646	2649	Corchorus golden mosaic virus	Corchorus golden mosaic virus, segment DNA B
NC_013258	8271	Tomato infectious chlorosis virus	Tomato infectious chlorosis virus, segment RNA 1
NC_007050	44283	Staphylococcus virus 85	Staphylococcus virus 85, complete genome
NC_007062	41690	Staphylococcus virus 52a	Staphylococcus virus 52a, complete genome
NC_029032	45532	Phormidium phage MIS-PhV1A	Phormidium phage MIS-PhV1A, complete genome
NC_015639	6688	Piscine myocarditis virus AL V-708	Piscine myocarditis virus AL V-708, complete genome
NC_031056	157501	Bacillus phage Deep Blue	Bacillus phage Deep Blue, complete genome
NC_003398	9596	Sugarcane mosaic virus	Sugarcane mosaic virus, complete genome
NC_011920	8222	Rudbeckia flower distortion virus	Rudbeckia flower distortion virus, complete genome
NC_011811	84576	Erwinia phage phiEa21-4	Erwinia phage phiEa21-4, complete genome
NC_002510	2764	Cotton leaf curl Gezira virus	Cotton leaf curl Gezira virus, complete genome
NC_008058	2614	Tomato golden mottle virus	Tomato golden mottle virus, segment DNA A
NC_020843	126434	Vibrio phage 11895-B1	Vibrio phage 11895-B1, complete genome
NC_020855	192497	Cyanophage P-RSM6	Cyanophage P-RSM6, complete genome
NC_001463	9189	Caprine arthritis encephalitis virus	Caprine arthritis encephalitis virus, complete genome
NC_001920	366	Grapevine yellow speckle viroid 1	Grapevine yellow speckle viroid 1, complete genome
NC_004102	9646	Hepatitis C virus genotype 1	Hepatitis C virus genotype 1, complete genome
NC_016434	65839	Gordonia phage GTE5	Gordonia phage GTE5, complete genome
NC_016435	65766	Gordonia phage GRU1	Gordonia phage GRU1, complete genome
NC_009240	96944	Gryllus bimaculatus nudivirus	Gryllus bimaculatus nudivirus, complete genome
NC_001474	10723	Dengue virus 2	Dengue virus 2, complete genome
NC_002558	4187	Trichoplusia ni cypovirus 15	Trichoplusia ni cypovirus 15, segment RNA 2
NC_003646	997	Milk vetch dwarf virus	Milk vetch dwarf virus, segment DNA S
NC_001796	15462	Human respirovirus 3	Human respirovirus 3, complete genome
NC_028958	41507	Clostridium phage phiCD146	Clostridium phage phiCD146, complete genome
NC_029083	93464	Pseudomonas phage PaoP5	Pseudomonas phage PaoP5, complete genome
NC_014899	35203	Murine adenovirus 2	Murine adenovirus 2, complete genome
NC_014901	59230	Mycobacterium phage Wee	Mycobacterium phage Wee, complete genome
NC_001550	8557	Mason-Pfizer monkey virus	Mason-Pfizer monkey virus, complete genome
NC_001902	26111	Methanobacterium phage psiM2	Methanobacterium phage psiM2, complete genome
NC_005069	46339	Yersinia phage PY54	Yersinia phage PY54, complete genome
NC_007052	45861	Staphylococcus virus 42e	Staphylococcus virus 42e, complete genome
NC_012696	73325	Sulfitobacter phage EE36phi1	Sulfitobacter phage EE36phi1, complete genome
NC_012702	11752	Midway nyavirus	Midway nyavirus, complete genome
NC_012703	11631	Nyamanini nyavirus	Nyamanini nyavirus, complete genome
NC_016437	26340	Skua adenovirus 1	Skua adenovirus 1, complete genome
NC_003856	2607	Dicliptera yellow mottle virus	Dicliptera yellow mottle virus, segment DNA A
NC_010797	2736	Urochloa streak virus	Urochloa streak virus, complete genome
NC_015668	20128	Cavally virus	Cavally virus, complete genome
NC_006556	20933	Thermoproteus tenax spherical virus 1	Thermoproteus tenax spherical virus 1, complete genome
NC_000858	9028	Simian T-lymphotropic virus 1	Simian T-lymphotropic virus 1, complete genome
NC_012127	274	Coleus blumei viroid 5	Coleus blumei viroid 5, complete genome
NC_007058	43155	Staphylococcus phage ROSA	Staphylococcus phage ROSA, complete genome
NC_013668	248526	Anguillid herpesvirus 1	Anguillid herpesvirus 1, complete genome
NC_010240	169794	Helicoverpa armigera granulovirus	Helicoverpa armigera granulovirus, complete genome
NC_004010	9848	Potato virus V	Potato virus V, complete genome
NC_007145	37639	Burkholderia virus phi52237	Burkholderia virus phi52237, complete genome
NC_001886	9384	Wheat streak mosaic virus	Wheat streak mosaic virus, complete genome
NC_004107	3323	Woodchuck hepatitis virus	Woodchuck hepatitis virus, complete genome
NC_006016	1166	African horse sickness virus	African horse sickness virus, segment 8
NC_006017	2792	African horse sickness virus	African horse sickness virus, segment 3
NC_009996	7099	Rhinovirus C	Rhinovirus C, complete genome
NC_003679	12333	Border disease virus	Border disease virus, complete genome
NC_013288	191761	Ostreococcus tauri virus 1	Ostreococcus tauri virus 1, complete genome
NC_009537	3433	Citrus variegation virus	Citrus variegation virus, segment RNA 1
NC_002326	2915	Rice grassy stunt tenuivirus	Rice grassy stunt tenuivirus, segment RNA 4
NC_013691	74901	Pseudomonas phage LUZ7	Pseudomonas phage LUZ7, complete genome
NC_013692	72544	Pseudomonas phage LIT1	Pseudomonas phage LIT1, complete genome
NC_010671	124279	Musca domestica salivary gland hypertrophy virus	Musca domestica salivary gland hypertrophy virus, complete genome
NC_010808	44342	Staphylococcus virus phiMR25	Staphylococcus virus phiMR25, complete genome
NC_007340	8595	Tomato chlorosis virus	Tomato chlorosis virus, segment RNA 1
NC_008940	3140	Glypta fumiferanae ichnovirus	Glypta fumiferanae ichnovirus, segment C8
NC_004583	2748	Cotton leaf curl Kokhran virus	Cotton leaf curl Kokhran virus, complete genome
NC_007448	16494	Grapevine leafroll-associated virus 2	Grapevine leafroll-associated virus 2, complete genome
NC_013693	158006	Shigella phage Ag3	Shigella phage Ag3, complete genome
NC_013696	42822	Enterococcus phage phiEf11	Enterococcus phage phiEf11, complete genome
NC_010820	13111	African green monkey simian foamy virus	African green monkey simian foamy virus, complete genome
NC_014904	9760	Tuber aestivum betaendornavirus	Tuber aestivum betaendornavirus, complete genome
NC_002331	178733	Xestia c-nigrum granulovirus	Xestia c-nigrum granulovirus, complete genome
NC_007918	16067	His2 virus	His2 virus, complete genome
NC_011976	43016	Salmonella phage epsilon34	Salmonella phage epsilon34, complete genome
NC_004800	5256	Goose hemorrhagic polyomavirus	Goose hemorrhagic polyomavirus, complete genome
NC_007289	8478	Potato virus S	Potato virus S, complete genome
NC_010821	316674	Pseudomonas phage 201phi2-1	Pseudomonas phage 201phi2-1, complete genome
NC_013007	16354	Carrot yellow leaf virus	Carrot yellow leaf virus, complete genome
NC_002640	10649	Dengue virus 4	Dengue virus 4, complete genome
NC_007522	9035	Aurantiochytrium single-stranded RNA virus 01	Aurantiochytrium single-stranded RNA virus 01, complete genome
NC_007642	12807	Lettuce necrotic yellows virus	Lettuce necrotic yellows virus, complete genome
NC_001498	15894	Measles morbillivirus	Measles morbillivirus, complete genome
NC_030949	47020	Clostridium phage phiCTC2A	Clostridium phage phiCTC2A, complete genome
NC_030950	47020	Clostridium phage phiCT19406A	Clostridium phage phiCT19406A, complete genome
NC_001813	33213	Duck atadenovirus A	Duck atadenovirus A, complete genome
NC_001706	22172	Lactococcus virus c2	Lactococcus virus c2, complete genome
NC_001672	11141	Tick-borne encephalitis virus	Tick-borne encephalitis virus, complete genome
NC_013638	43144	Pseudomonas phage phi-2	Pseudomonas phage phi-2, complete genome
NC_004654	2761	Tobacco leaf curl Japan virus	Tobacco leaf curl Japan virus, complete genome
NC_005992	877	Palyam virus	Palyam virus, segment 9
NC_006019	1169	African horse sickness virus	African horse sickness virus, segment 9
NC_030951	38243	Clostridium phage phiCTC2B	Clostridium phage phiCTC2B, complete genome
NC_011269	154017	Mycobacterium phage ScottMcG	Mycobacterium phage ScottMcG, complete genome
NC_003315	31508	Haemophilus virus HP2	Haemophilus virus HP2, complete genome
NC_013643	36270	Enterococcus phage phiFL2A	Enterococcus phage phiFL2A, complete genome
NC_014099	16622	Sulfolobus turreted icosahedral virus 2	Sulfolobus turreted icosahedral virus 2, complete genome
NC_010811	231255	Ralstonia phage phiRSL1	Ralstonia phage phiRSL1, complete genome
NC_013644	37856	Enterococcus phage phiFL4A	Enterococcus phage phiFL4A, complete genome
NC_013645	34882	Streptococcus virus phiAbc2	Streptococcus virus phiAbc2, complete genome
NC_013646	38764	Enterococcus phage phiFL1A	Enterococcus phage phiFL1A, complete genome
NC_013648	39576	Enterococcus phage phiFL3A	Enterococcus phage phiFL3A, complete genome
NC_013650	155445	Mycobacterium phage ET08	Mycobacterium phage ET08, complete genome
NC_007456	39704	Enterobacteria phage K1F	Enterobacteria phage K1F, complete genome
NC_003780	10035	Acyrthosiphon pisum virus	Acyrthosiphon pisum virus, complete genome
NC_011270	154906	Mycobacterium phage Spud	Mycobacterium phage Spud, complete genome
NC_007753	1071	Peruvian horse sickness virus	Peruvian horse sickness virus, segment 9
NC_010837	2666	Blainvillea yellow spot virus	Blainvillea yellow spot virus, segment DNA A
NC_001478	2701	Digitaria streak virus	Digitaria streak virus, complete genome
NC_013462	8931	Rosellinia necatrix megabirnavirus 1/W779	Rosellinia necatrix megabirnavirus 1/W779, segment L1
NC_011271	155372	Mycobacterium phage Cali	Mycobacterium phage Cali, complete genome
NC_011272	153894	Mycobacterium phage Rizal	Mycobacterium phage Rizal, complete genome
NC_001495	3644	Alfalfa mosaic virus	Alfalfa mosaic virus, segment RNA 1
NC_004052	2599	Ophiostoma mitovirus 4	Ophiostoma mitovirus 4, complete genome
NC_006296	15882	Rinderpest virus (strain Kabete O)	Rinderpest virus (strain Kabete O), complete genome
NC_000855	11158	Viral hemorrhagic septicemia virus Fil3	Viral hemorrhagic septicemia virus Fil3, complete genome
NC_006648	15158	Cotesia congregata bracovirus	Cotesia congregata bracovirus, segment Circle 17
NC_008603	321240	Paramecium bursaria Chlorella virus FR483	Paramecium bursaria Chlorella virus FR483, complete genome
NC_001844	145597	Equid alphaherpesvirus 4	Equid alphaherpesvirus 4, complete genome
NC_007803	19212	Beilong virus	Beilong virus, complete genome
NC_005217	6562	Sin Nombre orthohantavirus	Sin Nombre orthohantavirus, segment L
NC_001492	12734	Cryphonectria hypovirus 1	Cryphonectria hypovirus 1, complete genome
NC_011273	164602	Mycobacterium phage Myrna	Mycobacterium phage Myrna, complete genome
NC_018285	40758	Streptococcus phage YMC-2011	Streptococcus phage YMC-2011, complete genome
NC_009737	35055	Bacillus virus 1	Bacillus virus 1, complete genome
NC_009805	9636	Wheat eqlid mosaic virus	Wheat eqlid mosaic virus, complete genome
NC_003853	4253	Pea enation mosaic virus 2	Pea enation mosaic virus 2, complete genome
NC_014906	1356	Okra yellow crinkle Cameroon alphasatellite [CM:Lys1sp2:09]	Okra yellow crinkle Cameroon alphasatellite [CM:Lys1sp2:09], complete genome
NC_007921	147544	Agrotis segetum nucleopolyhedrovirus A	Agrotis segetum nucleopolyhedrovirus A, complete genome
NC_014137	9505	Slow bee paralysis virus	Slow bee paralysis virus, complete genome
NC_008574	9004	Ralstonia phage RSM1	Ralstonia phage RSM1, complete genome
NC_009542	33985	Aeromonas virus phiO18P	Aeromonas virus phiO18P, complete genome
NC_007216	9695	Wisteria vein mosaic virus	Wisteria vein mosaic virus, complete genome
NC_007808	49639	Pseudomonas phage PA11	Pseudomonas phage PA11, complete genome
NC_007809	59446	Pseudomonas virus M6	Pseudomonas virus M6, complete genome
NC_007810	66015	Pseudomonas phage F8	Pseudomonas phage F8, complete genome
NC_009231	56538	Clostridium virus phiC2	Clostridium virus phiC2, complete genome
NC_009020	30482	Pipistrellus bat coronavirus HKU5	Pipistrellus bat coronavirus HKU5, complete genome
NC_006574	7271	Mopeia virus AN20410	Mopeia virus AN20410, segment L
NC_003609	2757	Honeysuckle yellow vein mosaic virus	Honeysuckle yellow vein mosaic virus, complete genome
NC_008521	2035	Gull circovirus	Gull circovirus, complete genome
NC_009015	72415	Burkholderia virus BcepF1	Burkholderia virus BcepF1, complete genome
NC_009014	45445	Erwinia amylovora phage Era103	Erwinia amylovora phage Era103, complete genome
NC_003675	10140	Rio Bravo virus	Rio Bravo virus, complete genome
NC_003676	10116	Apoi virus	Apoi virus, complete genome
NC_001436	8507	Human T-cell leukemia virus type I	Human T-cell leukemia virus type I, complete genome
NC_001901	46375	Escherichia virus N15	Escherichia virus N15, complete genome
NC_002066	8832	Sacbrood virus	Sacbrood virus, complete genome
NC_009657	28203	Scotophilus bat coronavirus 512	Scotophilus bat coronavirus 512, complete genome
NC_001364	13246	Simian foamy virus	Simian foamy virus, complete genome
NC_007991	8315	Campoletis sonorensis ichnovirus	Campoletis sonorensis ichnovirus, segment H
NC_008198	64494	Mycobacterium phage PBI1	Mycobacterium phage PBI1, complete genome
NC_008717	36415	Pseudomonas virus DMS3	Pseudomonas virus DMS3, complete genome
NC_004324	8253	Cestrum yellow leaf curling virus	Cestrum yellow leaf curling virus, complete genome
NC_009994	9570	Tobacco vein banding mosaic virus	Tobacco vein banding mosaic virus, complete genome
NC_009526	43864	Staphylococcus virus 80alpha	Staphylococcus virus 80alpha, complete genome
NC_009884	31787	Acidianus filamentous virus 2	Acidianus filamentous virus 2, complete genome
NC_007672	1171	Aedes pseudoscutellaris reovirus	Aedes pseudoscutellaris reovirus, segment 7
NC_007667	3752	Aedes pseudoscutellaris reovirus	Aedes pseudoscutellaris reovirus, segment 2
NC_009761	42232	Staphylococcus phage tp310-1	Staphylococcus phage tp310-1, complete genome
NC_009763	42973	Staphylococcus phage tp310-3	Staphylococcus phage tp310-3, complete genome
NC_028880	38625	Citrobacter phage phiCFP-1	Citrobacter phage phiCFP-1, complete genome
NC_008722	43420	Staphylococcus virus CNPH82	Staphylococcus virus CNPH82, complete genome
NC_006645	21388	Cotesia congregata bracovirus	Cotesia congregata bracovirus, segment Circle 13
NC_009025	9499	Israeli acute paralysis virus	Israeli acute paralysis virus, complete genome
NC_011703	66235	Pseudomonas phage 14-1	Pseudomonas phage 14-1, complete genome
NC_012418	43152	Pseudomonas phage phikF77	Pseudomonas phage phikF77, complete genome
NC_008203	52047	Mycobacterium virus Che12	Mycobacterium virus Che12, complete genome
NC_008366	17039	Strawberry chlorotic fleck-associated virus	Strawberry chlorotic fleck-associated virus, complete genome
NC_008724	288047	Acanthocystis turfacea chlorella virus 1	Acanthocystis turfacea chlorella virus 1, complete genome
NC_008371	27453	Lactococcus virus jj50	Lactococcus virus jj50, complete genome
NC_009019	30286	Tylonycteris bat coronavirus HKU4	Tylonycteris bat coronavirus HKU4, complete genome
NC_004003	149599	Goatpox virus Pellor	Goatpox virus Pellor, complete genome
NC_002743	682	Tomato leaf curl deltasatellite	Tomato leaf curl deltasatellite, complete genome
NC_003896	2766	Tomato leaf curl virus	Tomato leaf curl virus, complete genome
NC_007378	2341	Influenza A virus (A/Korea/426/1968(H2N2))	Influenza A virus (A/Korea/426/1968(H2N2)), segment 1
NC_004689	70797	Mycobacterium phage Barnyard	Mycobacterium phage Barnyard, complete genome
NC_014064	9489	Freesia mosaic virus	Freesia mosaic virus, complete genome
NC_009820	58692	Mycobacterium phage Tweety	Mycobacterium phage Tweety, complete genome
NC_009875	17938	Staphylococcus phage SAP-2	Staphylococcus phage SAP-2, complete genome
NC_028886	38663	Bacillus phage phi4B1	Bacillus phage phi4B1, complete genome
NC_014567	156742	Saimiriine alphaherpesvirus 1	Saimiriine alphaherpesvirus 1, complete genome
NC_009965	24655	Acidianus rod-shaped virus 1	Acidianus rod-shaped virus 1, complete genome
NC_009127	295146	Cyprinid herpesvirus 3	Cyprinid herpesvirus 3, complete genome
NC_003618	7193	Lettuce infectious yellows virus	Lettuce infectious yellows virus, segment RNA 2
NC_009541	29739	Propionibacterium phage PA6	Propionibacterium phage PA6, complete genome
NC_001694	7989	Alphapapillomavirus 3	Alphapapillomavirus 3, complete genome
NC_001829	4767	Adeno-associated virus - 4	Adeno-associated virus - 4, complete genome
NC_008035	126629	Antheraea pernyi nucleopolyhedrovirus	Antheraea pernyi nucleopolyhedrovirus, complete genome
NC_002548	9491	Acute bee paralysis virus	Acute bee paralysis virus, complete genome
NC_012749	88487	Escherichia phage wV8	Escherichia phage wV8, complete genome
NC_006953	37966	Listonella phage phiHSIC	Listonella phage phiHSIC, complete genome
NC_009821	164270	Enterobacteria phage Phi1	Enterobacteria phage Phi1, complete genome
NC_009816	70579	Corynebacterium phage P1201	Corynebacterium phage P1201, complete genome
NC_009819	40539	Streptococcus phage P9	Streptococcus phage P9, complete genome
NC_015292	84565	Erwinia phage phiEa104	Erwinia phage phiEa104, complete genome
NC_009992	14214	Plum bark necrosis stem pitting-associated virus	Plum bark necrosis stem pitting-associated virus, complete genome
NC_010306	26253	Gill-associated virus	Gill-associated virus, complete genome
NC_007049	43883	Staphylococcus virus 53	Staphylococcus virus 53, complete genome
NC_007734	40867	Bacillus virus Wbeta	Bacillus virus Wbeta, complete genome
NC_014595	170605	Shigella phage SP18	Shigella phage SP18, complete genome
NC_008464	60238	Stx2-converting phage 86	Stx2-converting phage 86, complete genome
NC_009531	46214	Synechococcus virus Syn5	Synechococcus virus Syn5, complete genome
NC_009604	47382	Burkholderia virus BcepNY3	Burkholderia virus BcepNY3, complete genome
NC_009551	43249	Phormidium virus WMP3	Phormidium virus WMP3, complete genome
NC_013443	6534	HMO Astrovirus A	HMO Astrovirus A, complete genome
NC_011800	8791	Human T-lymphotropic virus 4	Human T-lymphotropic virus 4, complete genome
NC_034249	350731	Kaumoebavirus	Kaumoebavirus, complete genome
NC_028908	72825	Achromobacter phage phiAxp-3	Achromobacter phage phiAxp-3, complete genome
NC_011287	58554	Mycobacterium virus Pacc40	Mycobacterium virus Pacc40, complete genome
NC_011288	58471	Mycobacterium virus Fruitloop	Mycobacterium virus Fruitloop, complete genome
NC_006575	3427	Mopeia virus AN20410	Mopeia virus AN20410, segment S
NC_003564	1020	Faba bean necrotic yellows virus	Faba bean necrotic yellows virus, segment DNA U2
NC_004706	1372	Papaya leaf curl betasatellite	Papaya leaf curl betasatellite, complete genome
NC_011292	68952	Mycobacterium phage Konstantine	Mycobacterium phage Konstantine, complete genome
NC_011142	47453	Iodobacteriophage phiPLPE	Iodobacteriophage phiPLPE, complete genome
NC_010521	9836	Squash vein yellowing virus	Squash vein yellowing virus, complete genome
NC_013797	108592	Artogeia rapae granulovirus	Artogeia rapae granulovirus, complete genome
NC_009016	38197	Vibrio virus VP882	Vibrio virus VP882, complete genome
NC_012959	34920	Human adenovirus 54	Human adenovirus 54, complete genome
NC_006551	11066	Usutu virus	Usutu virus, complete genome
NC_000943	11014	Murray Valley encephalitis virus	Murray Valley encephalitis virus, complete genome
NC_001479	7835	Encephalomyocarditis virus	Encephalomyocarditis virus, complete genome
NC_008032	7542	Capra hircus papillomavirus 1	Capra hircus papillomavirus 1, complete genome
NC_003469	3768	Barley stripe mosaic virus	Barley stripe mosaic virus, segment RNA 1
NC_005842	2763	Tomato leaf curl Iran virus	Tomato leaf curl Iran virus, complete genome
NC_009029	10874	Kokobera virus	Kokobera virus, complete genome
NC_006564	8101	Canis familiaris papillomavirus 2	Canis familiaris papillomavirus 2, complete genome
NC_007913	9544	Konjac mosaic virus	Konjac mosaic virus, complete genome
NC_007458	37253	Bacillus phage Gamma	Bacillus phage Gamma, complete genome
NC_003481	3289	Barley stripe mosaic virus	Barley stripe mosaic virus, segment RNA 2
NC_013227	2251	Mammalian orthoreovirus 3	Mammalian orthoreovirus 3, segment M1
NC_007603	46219	Escherichia virus Rtp	Escherichia virus Rtp, complete genome
NC_010954	9656	Fritillary virus Y	Fritillary virus Y, complete genome
NC_011054	58037	Mycobacterium virus Boomer	Mycobacterium virus Boomer, complete genome
NC_001639	14104	Lactate dehydrogenase-elevating virus	Lactate dehydrogenase-elevating virus, complete genome
NC_001961	15428	Porcine reproductive and respiratory syndrome virus	Porcine reproductive and respiratory syndrome virus, complete genome
NC_011344	47342	Staphylococcus phage phi2958PVL	Staphylococcus phage phi2958PVL, complete genome
NC_011802	41941	Salmonella phage SE1 (in:P22virus)	Salmonella phage SE1 (in:P22virus), complete genome
NC_014252	9750	Panax virus Y	Panax virus Y, complete genome
NC_011551	39867	Bacteriophage APSE-2	Bacteriophage APSE-2, complete genome
NC_011589	40287	Stenotrophomonas phage S1	Stenotrophomonas phage S1, complete genome
NC_004287	5078	Bombyx mori densovirus 5	Bombyx mori densovirus 5, complete genome
NC_011289	58578	Mycobacterium virus Ramsey	Mycobacterium virus Ramsey, complete genome
NC_011756	66390	Pseudomonas phage SN	Pseudomonas phage SN, complete genome
NC_013006	8517	Kalanchoe latent virus	Kalanchoe latent virus, complete genome
NC_013021	107530	Cyanophage PSS2	Cyanophage PSS2, complete genome
NC_013598	35525	Streptococcus virus ALQ132	Streptococcus virus ALQ132, complete genome
NC_013936	52141	Mycobacterium virus Ardmore	Mycobacterium virus Ardmore, complete genome
NC_012210	8604	Red clover vein mosaic virus	Red clover vein mosaic virus, complete genome
NC_014373	18940	Bundibugyo ebolavirus	Bundibugyo ebolavirus, complete genome
NC_013597	43970	Aggregatibacter phage S1249	Aggregatibacter phage S1249, complete genome
NC_013599	36674	Xylella phage Xfas53	Xylella phage Xfas53, complete genome
NC_013600	45169	Sodalis phage SO1	Sodalis phage SO1, complete genome
NC_029065	98765	Pseudomonas phage VCM	Pseudomonas phage VCM, segment 1
NC_015393	9999	Celery mosaic virus	Celery mosaic virus, complete genome
NC_007022	172963	Aeromonas virus 31	Aeromonas virus 31, complete genome
NC_014792	169285	Escherichia phage vB_EcoM_VR7	Escherichia phage vB_EcoM_VR7, complete genome
NC_003621	4441	Grapevine chrome mosaic virus	Grapevine chrome mosaic virus, segment RNA 2
NC_005051	1307	Okra yellow vein disease associated sequence	Okra yellow vein disease associated sequence, complete genome
NC_015283	176428	Prochlorococcus phage P-RSM4	Prochlorococcus phage P-RSM4, complete genome
NC_015456	50661	Shigella virus Shfl1	Shigella virus Shfl1, complete genome
NC_015568	41090	Clostridium phage phiCD38-2	Clostridium phage phiCD38-2, complete genome
NC_014900	40986	Salmonella phage ST160	Salmonella phage ST160, complete genome
NC_013953	156344	Lymantria xylina nucleopolyhedrovirus	Lymantria xylina nucleopolyhedrovirus, complete genome
NC_009333	137969	Human gammaherpesvirus 8	Human gammaherpesvirus 8, complete genome
NC_009764	8727	Coleus vein necrosis virus	Coleus vein necrosis virus, complete genome
NC_014905	9917	Apium virus Y	Apium virus Y, complete genome
NC_015250	159801	Acinetobacter virus 133	Acinetobacter virus 133, complete genome
NC_001587	7723	Human papillomavirus type 34	Human papillomavirus type 34, complete genome
NC_013225	3804	Mammalian orthoreovirus 3	Mammalian orthoreovirus 3, segment L1
NC_003410	1952	Canary circovirus	Canary circovirus, complete genome
NC_015721	23931	Bdellovibrio phage phi1402	Bdellovibrio phage phi1402, complete genome
NC_013469	9098	Fusarium graminearum dsRNA mycovirus-3	Fusarium graminearum dsRNA mycovirus-3, complete genome
NC_006553	8289	Avian sapelovirus	Avian sapelovirus, complete genome
NC_011167	53104	Bacillus virus IEBH	Bacillus virus IEBH, complete genome
NC_006658	30655	Cotesia congregata bracovirus	Cotesia congregata bracovirus, segment Circle 31
NC_016166	74431	Gordonia phage GTE7	Gordonia phage GTE7, complete genome
NC_016763	43221	Salmonella phage SE2	Salmonella phage SE2, complete genome
NC_008562	162109	Microcystis virus Ma-LMM01	Microcystis virus Ma-LMM01, complete genome
NC_013036	158091	Anatid alphaherpesvirus 1	Anatid alphaherpesvirus 1, complete genome
NC_013226	3870	Mammalian orthoreovirus 3	Mammalian orthoreovirus 3, segment L2
NC_013228	2127	Mammalian orthoreovirus 3	Mammalian orthoreovirus 3, segment M2
NC_027986	39014	Pseudomonas phage JBD18	Pseudomonas phage JBD18, complete genome
NC_016141	8372	Hibiscus green spot virus 2	Hibiscus green spot virus 2, segment RNA 1
NC_016566	44077	Shigella phage EP23	Shigella phage EP23, complete genome
NC_016436	16404	Grapevine leafroll-associated virus 7	Grapevine leafroll-associated virus 7, complete genome
NC_020487	36838	Titi monkey adenovirus ECC-2011	Titi monkey adenovirus ECC-2011, complete genome
NC_020486	171211	Synechococcus phage S-RIM8 A.HR1	Synechococcus phage S-RIM8 A.HR1, complete genome
NC_011107	42961	Pseudomonas phage PT2	Pseudomonas phage PT2, complete genome
NC_013439	5168	Bornean orang-utan polyomavirus	Bornean orang-utan polyomavirus, complete genome
NC_011308	35638	Listeria phage P40	Listeria phage P40, complete genome
NC_016959	11688	Ndumu virus	Ndumu virus, complete genome
NC_015326	346754	Lausannevirus	Lausannevirus, complete genome
NC_011612	45344	Staphylococcus virus IPLA35	Staphylococcus virus IPLA35, complete genome
NC_012534	10941	Bagaza virus	Bagaza virus, complete genome
NC_018872	9512	Pokeweed mosaic virus	Pokeweed mosaic virus, complete genome
NC_013756	368454	Marseillevirus marseillevirus	Marseillevirus marseillevirus, complete genome
NC_012697	74611	Silicibacter phage DSS3phi2	Silicibacter phage DSS3phi2, complete genome
NC_006494	10112	Varroa destructor virus 1	Varroa destructor virus 1, complete genome
NC_013758	8082	Haloarcula hispanica pleomorphic virus 1	Haloarcula hispanica pleomorphic virus 1, complete genome
NC_006383	15948	Small ruminant morbillivirus	Small ruminant morbillivirus, complete genome
NC_014322	22743	Hyperthermophilic Archaeal Virus 1	Hyperthermophilic Archaeal Virus 1, complete genome
NC_014372	18935	Tai Forest ebolavirus	Tai Forest ebolavirus, complete genome
NC_019813	44030	Pseudomonas phage vB_PaeP_p2-10_Or1	Pseudomonas phage vB_PaeP_p2-10_Or1, complete genome
NC_005286	3923	Pelargonium flower break virus	Pelargonium flower break virus, complete genome
